num, desc
96, 關注你的生命目的，將你所有的焦點專注於靈性層面（例如發自內心協助齊塔人或請求上天支持你）。將與你生命目的有關的擔憂交給神和天使。
97, 繼續信任與遵循你的直覺，因為它正中目標。
98, 你越專注於你神聖的生命目的，且起而行，就會有越多的豐盛大門為你打開。焦距於你的生命目的，讓你的財務自行運轉。
99, 靈性世界有個緊急訊息給你【現在就開始從事你神聖的生命目的！】祈求靈性界幫助你得到動力、清明、方向與你所需的其他一切。
100, 這是來自神的一個強烈訊息，告訴你說正向的想法是必備的，以便共創你所想要的結果。
101, 此數字代表靈性教導的基本原則：當你【放下，讓神接手】，你的想法自動會變的更正向，這提升的能量振動，會吸引所有美好事物進入你的生命。
102, 你所有的祈禱和正向想法正萌芽成形！將所有的擔心交給神，保持盈滿的信心，因為你很快就會見到正向的結果。
103, 你越保持樂觀，神與揚升大師們（例如：耶穌、聖者等）就越能輕易的協助你。
104, 你被神與天使的愛所圍繞，他們正將你提升到一個更快樂的層次，你能藉著維持正向的展望以加速這效果。
105, 當你的生活為更好而改變時，神強而有力與充滿愛的能量會支持你，將所有的擔心交給神，因為你正向想法的作用就如同一路隨行的天使。
106, 你越專注神的愛與智慧，你越能連結上這力量與支持的源頭，【首先尋求神的國度，之後的一切都會加諸於你】。
107, 你一直聆聽著神愛的指引，因此，你現在正處於你應處之地。
108, 你正向的想法以及透過祈禱連結的神無盡之愛，已為你產生一條無窮盡的豐盛之流。
109, 這個強烈的訊息告訴你，對於你神聖的生命目的保持樂觀，朝你夢想的地方繼續採取行動。
110, 你與神共同創造對於祈禱的回應，在這過程中，神需要你的合作，保持正向並遵循神聖指引，你可以協助他。
111, 這數位為你帶來緊急訊息，告訴你，你的想法正立即實現，因此讓你的思想模式專注於你所想要的，將任何恐懼的想法交給上天轉化。
112, 信心與樂觀是兩個要素，能開啟你所渴望的一切大門。
113, 揚升大師正提振你的想法，而你將開期待正朝你而來的奇蹟。
114, 祈求天使協助你保持樂觀，因為他們督促你將你的想法保持在最高的能量振動層次。
115, 你對目前所做或正考慮要做的改變越維持正向，對你和其中所涉及的所有人，會有越佳結果。
116, 對你的物質生活（例如：職業、家庭與生活方式）持有最高的願景，因為你的想法正在這些領域願化成真。
117, 恭喜！你正向的想法已帶領你與你的生命朝美好的方向前進。繼續保持正向的心智運作。
118, 你對於錢所秉持的正向想法，已開啟增加財富之流的大門，保持樂觀，因為這正在運作。
119, 儘可能對你的神聖生命任務的想法與感覺，保持高能量振動與正向。你的想法左右於你生命目的的相關經驗。
120, 很棒！你已將你的內心與頭腦完全的專注於神之愛的正向能量。
121, 現在是你展現你堅定不移的信心與樂觀的時候，它們總是為你產生可能的最佳結果。
122, 保持滿滿的信心，因為上天正在幕後協助你願化。你的想法與感覺越保持正向，這願化的發生就越快愈好。
123, 放下多餘或是不是必要的一切，簡化你的生活，請求其他人（包括上天）來協助你，並更長將工作分派出去。
124, 天使將你的想法提振到神聖的愛的能量，幫助你保持正向。
125, 所有你正做出或考慮的改變會進行的更順利，只要你保持正向的心理模式。
126, 你越保持正向並充滿信任，你目前情況的結果就會更佳，你用你的想法在掌舵，所以讓他們保持揚升。
127, 你走在正確的道路上，所以你的樂觀是有保證的。保持正向，繼續做你正在做的事！
128, 你約持續讓你的身體與心智充滿正向能量，越多的豐盛之門會為你大大的敞開。
129, 你神聖的生命任務是很重要的，這世界也非常需要它。保持正向，每日採取與你靈性熱情及興趣相關的行動步驟。
130, 神與揚升大師與你共同合作，提振你的想法與能量，並讓他們歸於中心且充滿愛。
131, 祈求揚升大師協助你現在正經歷或想要的一切，他們會增進你的信心與勇氣。
132, 大部分揚升大師（例如耶穌、摩西和佛陀）的故事，都訴說著他們出發奇蹟的無上勇氣，這數字是來自於助你提升對上天信心的大師們的訊息。
133, 你無須恐懼或擔心任何事情，因為揚升大師在各方面完全的支持與圍繞著你。
134, 你現在有大量的靈性支持。將任何的掛念與擔心交給天使與揚升大師，他們現在正充滿愛的圍繞你。
135, 你正向的想法與揚升大師的支持，激勵了你正經歷的有益改變，信任這些改變會引領你得到你祈禱的解答。
136, 你的祈禱請求物質所需的協助，已被聽到並得到回應，你需要做的是將你的想法專注於你的夢想，並將任何恐懼放下交給揚升大師。
137, 你做到了！你的祈禱與觀想已將你引至正確的道路，只需繼續遵循你的指引，並持續肯定會有一個正向的結果。
138, 對於你的職業與財務，堅定不移的繼續持正向肯定句與祈禱，將任何的擔心或掛念交給用愛圍繞你的揚升大師。
139, 持續觀想自己快樂的走在你神聖生命任務的道路上，繼續祈禱以及與揚升大師對話， 對於你的生命任務，他們會在此支持你。
140, 神與天使提振你的想法到一個非常正向的層次，如此你能繼續吸引所有美好的一切事物進入你的生命。
141, 這是來自天使的強烈訊息督促你讓你的想法遠離擔憂。運用祈禱和正向肯定語，將你的想法專注在你所想要結果的樂觀景象。
142, 天使正協助你保持堅強、正向與充滿信心，他們知道這情況有最佳的解決之道，他們要你知道一切安好。
143, 無須擔心，揚升大師與天使正站在你身邊，向你確保會有正向的結果。
144, 天使督促你保持想法的正向，因為你的樂觀會吸引最高的美善，祈求天使協助釋放恐懼，它便會釋放。
145, 是的，你所考慮做出的改變是被神聖所指引的，你能有信心的處理這些課題，因為你知道天使一路都在協助你。
146, 你正向的肯定語，能確保你所有的物質所需都得到照應，天使督促你持續你的祈禱，觀想以及其他顯化的步驟。
147, 你對這情況有清楚地考慮，再決定與行動時，你走在正確的道路上。天使保護著你。
148, 天使協助你的職業與財務。你能感覺到這協助，並開始放鬆下來，對財務所需感覺較好。
149, 對於你神聖指引的職業放鬆一點，因為天使正給你大量的訊息與點子。只需信任並遵循這些點子，其他的一切會自行良好的運作。
150, 當你正經歷這改變的時期，要知道你被神以及你正向的意念充滿愛的支持著。
151, 用非常正向的思維模式，處理你所考慮的任何改變是非常重要的。你的想法決定這些改變的結果。
152, 用敞開的心對待新的點子、情況與關係，允許自己嘗試創新的辦法。
153, 做出你正考慮的改變時安全的，只要你保持專注在服務與神聖的愛，這點揚升大師能協助你，這些改變將會開花結果。
154, 天使在此幫助你做出必要的改變，這會增加你快樂與滿足的程度，祈求天堂的協助，特別是與維持正向心理模式有關的方面。
155, 在你生活中做出一些正向的改變時必要的。你一收購目前的情況，現在是時候由你主導並依你的方式行事了。
156, 你在你職業、財務或其他物質面要做出正向改變的決心，是由神聖指引所提供的點子。
157, 對於你的新點子與行動，你在正確的道路上，繼續保持！
158, 你吸引與顯化增加收入的新點子正在產生效果，當你持續的保持正向肯定語與觀想，你會經驗到豐盛。
159, 這是開始從事你一部分神聖生命目的的最佳時機，選擇你心中想到，與你的靈性興趣有關的第一個行動步驟。
160, 神已聆聽並回應你的祈禱，檢視你的言語與想法，你便能以正向的言詞描述你自己與你的情況，如此，你能更快速的共創解答。
161, 這強烈的訊息，督促你對於你的財務、職業、家庭與其他物質的課題，保持正向。這些正向的想法會帶領你走的更遠。
162, 在信任中，保持堅強與歸於中心，因為你對你物質所需的起到以顯化成型。
163, 揚升大師們已聆聽且回應你需要協助的祈求。更接受你祈禱的回應所需要做的，是在你的想法與言談中，運用正向的話語。
164, 天使移除舊有的擔憂與掛念，如此你的生活能以奇蹟般的方式獲得改善。
165, 當你經驗你在職業、家庭、關係和其他生活領域中的改變時，你是全然的受到支持的。這些是為了最好的結果而做的改變。
166, 只使用正向話語來思考與談論你的職業、家庭和關係是非常重要的。這些你所使用的話語決定你的未來，所以請善加選擇。
167, 在改善你的生活上，你已走在正確的道路上，只要你對你所想要的結果，保持正向的願景。
168, 增加你財務之流的關鍵，在於只使用正向的話語去描述與思考錢。
169, 這個驅動你從事你神聖生命任務的直覺是真實的。觀想並時常肯定的說, 【我現在就快樂的實現我神聖生命任務】。讓它成為實相。
170, 恭喜你善用肯定語、祈禱與其他夢想成真的工具，因為它們正為你生效！
171, 你值得擁有你現在正在經歷的快樂與成功。對你而言，快樂與成功是安全的，所以你可以放鬆並享受它。
172, 信任你所做的選擇是受到神聖的指引，因為他們的確如此。
173, 你走在正確的道路上，一路上有揚升大師（例如, 耶穌、聖者、觀音等）陪伴、保護與指引你。
174, 你已正確的聆聽到你守護天使的神聖指引，因此對與你生命目的與夢想成真的顯化，你是在正確的軌道上。
175, 你正確的做出改變，這會大大的提升你的生活。
176, 關於改善你的生活，你走在正確的道路上，如此你的物質所需更容易被滿足。
177, 你處於你生活的順境階段，你的意唸完全以非常正向的方式成真。慎選你所思與所言，因為你的話語就如同向宇宙下訂單……而那便是你會得到的。
178, 你所有的正向想法與肯定語已增進財務豐盛之流的提升！繼續保持！
179, 關於你的生命目的，你已在正確的道路上。持續你的觀想，並期待快樂的結果，因為你的期待正決定你的未來。
180, 你正向的想法與祈禱正帶來財務豐盛之流的增加！
181, 要療愈你的財務狀況，運用正向肯定語並觀想你的豐盛。
182, 你的職業與財富，完全依你內心所持的觀點而定。如果對於你的成功，你是快樂並充滿信心與信任的，那麼，你輕易就能經驗到成功。
183, 揚升大師透過你的冥想與直覺引領你，特別是你針對職業與財務方面。
184, 你的守護天使正看顧著你，他們鼓勵你將任何對於你職業和財務情況的擔憂與掛念交給他們。
185, 你所考慮要做出的改變，會為你的財務狀況帶來正向的作用。
186, 對你而言，此時最重要的莫過於善用你使夢想成真的工具，例如，正向的肯定語、觀想與祈禱，以便有意識的療愈你的財務以及其他擬想要的豐盛的領域。
187, 在你職業的選擇上，遵循你的內在指引，因為你已連結到會完全支持你的正確資訊。
188, 做得好！你所有的冥想觀想已開啟增強財務之流的水閘門。
189, 當你全心投入你的時間和能量，在你神聖生命目的時（這包括你深深感到熱情的靈性主題），信任你會得到財務上的完全支持。
190, 你正得到召喚讓自己全心投入你的生命任務之中。觀想你自己快樂的從事有意義的職業，而你知道，當你持續的遵循內在的指引，這是會成真的。
191, 你正向的想法正開啟大門，讓你所夢想的職業與聖神生命目的開花結果。不再拖延，現在就跨越這些門檻。
192, 要信任---對於你的神聖生命目的，你已經準備好了，而這世界也需要它。你準備好，並有資格去完成這個任務。
193, 揚升大師（例如：聖者、耶穌與佛陀等）正支持你與你神聖的生命目的。將你職業上可能有的任何擔憂交給他們。
194, 天使已聆聽到你關於職業以及招待你神聖生命任務的祈禱，他們幫助你，藉由你的直覺與夢境和其他精微的方式，給予你指引。聆聽並遵循這些指引。
195, 你所做出的改變正是時候。你對於你在生命中要或不要接受的一切都非常清楚，這些改變讓你步上你神聖生命的任務道路……而結果是你也會協助他人這麼做。
196, 將對於你的職業或是生命目的的任何擔憂交給聖靈，因為你正向的想法是在這些情況中決定因素。
197, 關於你的職業與生命目睹，你走在正確的道路上。保持正向的肯定語，因為它們有效！
198, 你的生命目的是對於你有關錢的祈禱的解答。將你自己全心投入與你自然天分與興趣有關的服務，你得到的回饋就是受到完全的支援。
199, 對於你的而職業生命目的，持有正向想法是非常重要的，因為想決定結果。
200, 神強而有力與無條件的愛，用信心充滿你的心與頭腦，如此你能在任何看似是麻煩的處境之中超越。信任一切安好，因為它的確如此。  
201, 運用你所說、所思與寫的話語，你正共同創造關於你自己祈禱的回應。這訊息在告訴你，選擇愛與正向的話語，你的結果也會是充滿愛與正向的。
202, 神正在幫助你增進你的信心，因為有信心一切便有可能。
203, 你所有的祈禱都被聽見與回應。你越相信這點，其結果就會越快越好。要信任。
204, 天使用神療愈的愛圍繞著你，敞開你的心與頭腦來接受這神聖的禮物，這會為你帶來祝福。
205, 你的信心與祈禱已造成正向的生命改變。信任這些改變是對你祈禱的回應。
206, 你的祈禱與信心正完全支持你與你的物質所需，將任何擔憂在祈禱中交出去，並敞開接受對於這些起到的解答。
207, 宇宙正輕拍你的背，為你祈禱和靈性奉獻的方式生活而鼓掌，繼續保持！
208, 你正向的觀點、祈禱與其他使夢想成真的活動，已為你創造財務的安全，期待資金的增加，例如, 加薪、晉陞或意外之財。
209, 你為你的神聖生命目的祈禱，而回應是:【有信心的朝你直覺與靈性熱情的方向走去，信任你在這道路上完全的受到支持】。
210, 你正共同創造對你祈禱的回應，它們的結果是決定於---你信任萬事皆已在靈性真相中得到療愈。信任一切安好，而它便是如此。
211, 現在是你自任何看似問題的情況之中超越的時候，要確保你所說、所寫或所想的每個字句都儘可能的正向。你正快速的使一切成真，所以你只要確認你只專注於你所想要的結果，而不去思考任何恐懼。
212, 你會相信，一切便有最好的結果。相信與信任！
213, 揚升大師，特別是女神正在協助你自神聖之愛的角度去看待這情況。你越是透過愛的眼睛看待這情況，其結果會越好。
214, 你被大天使與天使們所支持。將任何的擔憂與掛念交給他們。因為當你的心越被喜悅與信心所照亮，你越能吸引有力的結果。
215, 你一直專注於改變你的生命，而這正向的改變正發生在你身上。信任這是為最好的結果而改變，因為它的確如此。
216, 當你持有正向的思考模式，你的物質所需更容易得到供應。因為同頻相吸。
217, 你已在你自己身上做了許多靈性、情緒和心智的療愈工作，並得到了正向且有效的結果。做得好！
218, 天使說你的想法正為你財務的方向掌舵。正向的想法會為你朝正向的方向前進。
219, 你的想法正集中於職業與你的生命目的。樂觀會為你帶來你所尋求的獎賞，所以保持正向。
220, 這是強烈的神聖訊息，督促你堅持堅定的希望、信任與信心，因為這些特質決定你目前情況的結果。
221, 你越保持正向（在你的想法、話語、行動與所寫的字句中），這經驗對你和你所愛的人就越好。
222, 信任所有一切都完全依其所應然的方式運作著，為其中所涉及的每個人帶來神聖的祝福。放下並保持信心。
223, 由於你的信任，以及你與一至多位聆聽並回應你祈禱的揚升大師清楚地連結，一個療愈的奇蹟即將發生。
224, 天使正增進你的信心，信任與信心，因為這些特質幫助他們回應你的祈禱。
225, 你在所思所行所說與所寫的各方面都變的正向，這新的正向能量提升你的生活。
226, 你的信心決定你的物質供應之流，（例如:金錢、家庭與其他物質所需），你越正向你的益善之流會越增強。
227, 你極大的信心與正向的觀點，正透過絕對有效的吸引力法則實現。
228, 信任新的機會是對你祈禱的回應。走入這些為你敞開的大門，並接受幫助。
229, 知道你神聖的生命目的是獨特且被需要的。信任你在當下正實現這目的。除了你，沒有其他人可以做這件事。
230, 你與天堂有清楚的連結。特別當你處於平靜的片刻，感覺到深與揚升大師確實在看顧著你（他們的確如此）。
231, 揚升大師在提醒你:【有信心，凡事皆可能】。如果你感到自己信心動搖，祈請他們增強你的信心。
232, 不要聚焦在問題或匱乏，而去聚焦在祈禱與信任，相信你是被強而有力的揚升大師們所保護、愛與看顧著的。
233, 你已祈求多位揚升大師的協助，就如同你所祈求的，他們現在與你同在。
234, 你有天使、大天使與揚升大師們作為你強而有力的盟友，他們現在與你同在，協助與指引你。
235, 揚升大師們已聽見並回應你關於改變生命的祈禱，他們協助你重新以健康的方式安排你的生命。
236, 揚升大師們回應你的祈禱與堅定不移的信心，你祈求關於家庭與住處等等的物質所需正得到供應。
237, 你的祈禱、冥想與其他靈性修為，已讓你調準到揚升大師們的愛的能量。
238, 揚升大師們已聽見並回應你關於增加豐盛的祈禱。他們知道我們人類有物質的需求，因此他們現在正協助你。
239, 強而有力的揚升大師們正協助你與你神聖的生命目的。關於你的職業道路的下一步驟，可祈請他們的指引，他們會直接的引導你。
240, 神與天使正增強你的自我價值，自信與信任，對他們的協助敞開。
241, 你與天使的連接是你對愛強而有力的療愈能量敞開心，持續的與天使對話，因為他們祝福你與你的生命。
242, 這是來自天使強烈的訊息，請你信任一切安好，並依神聖與完美的只秩序獲得解決，有信心萬事皆可能。
243, 天使與揚升大師們已聆聽並回應你的祈禱。信任，並將任何的擔憂或掛念交給他們。
244, 你被有力量的天使們所圍繞，他們無條件的愛你。無需懼怕任何事。
245, 天使已協助你協調與安排正向的改變，這將莫大的祝福帶入你的生命。
246, 天使已聽見並回應你關於你物質所需（例如:金錢、家庭、交通等）的祈禱。
247, 天使說你所有的祈禱都得到回報。保持信心！
248, 你與天使們的連接是非常深層與清楚地。他們與你的生命的各個領域親密連結，包括你的職業與財務。
249, 你已接收到關於你神聖生命目的的天使訊息。這指引出現的方式或許會是直覺的感受，或是渴望用與你熱愛的興趣相關的方式提供服務。信任這指引，並毫不延遲的去行動。
250, 你關於要正向的改變生命的祈禱已被聽見與回應。你越保持讓信心充滿這些改變，就有越佳的結果。
251, 現在你正為自己的生命掌舵。非常重要的是，對於你正經歷或考慮要做出的改變保持正向，因為這會決定你的結果。
252, 不需一再確認你最近的決定是好的。全然信任他們是正確的，並朝你的計畫前進。
253, 你全心的祈禱是你現在經歷或考慮並做出改變的原因。這些改變是對你起到的真實回應，所以歡迎他們！
254, 當你的生命為更好而改變時， 天使會看顧你。祈求他們在這改變中各方面協助你……而這些協助就會被給予。
255, 信任你所經歷的改變，是為了最好的結果而做的改變，因為他們的確如此。
256, 你在做的正向改變會幫助你，讓你與你所愛的人的所需得到更佳的供應。
257, 保持你的航線，因為你是朝正確的方向前進。
258, 你的財務生活正為更好的目的而改變，他們會以加薪、你事業的收入增加或意外之財的方式出現。
259, 你整改變你的生命，如此你能實現你的生命任務。信任這些改變有其靈性目的，因為他們的確如此。
260, 神已聽見並回應你關於供應你的物質所需，包括食物、住所與其他的需要去信任。
261, 你物質的供應與你的想法息息相關。你越正向，你的所需便越容易得到供應。
262, 信任你的帳單正在付清，以及你與你的家人有足夠的一切。你的信心會及時得到回饋。
263, 揚升大師們已聽見並回應你的祈禱，並協助你在食物、住宿與其他物質所需的供應。
264, 信任你與你所愛的人都被天使所眷顧，守護與供給，因為的確如此。
265, 你所身處的正向與健康的改變，使你能更容易支持你自己與你的家人。放輕鬆……最糟的情況已經過去。
266, 非常重要的是，專注於你所有物質所需的靈性來源。如果你專注在安全的幻相或匱乏之中，你便會吸引他們，這是喚醒你要有信心的時候，而他將會立即的得到回饋。
267, 關於你如何更善加管理或增加你的財務以滿足你物質所需的想法，你走在正確的道路上。對於金錢，持續提振你的想法與感覺，你會經驗一段更輕鬆容易的時期。
